Branch,Language,Dialect,ExactMatch,GroupMatch
Mordvin,Moksha,Transitional Moksha,,moks1248
Mordvin,Moksha,Western Moksha,,moks1248
Permic,Komi-Permyak,,komi1269,
Permic,Komi-Yazva,,komi1277,
Permic,Komi-Zyrian,,komi1268,
Permic,Udmurt,,udmu1245,
Permic,Udmurt,Besserman Udmurt,bese1243,
Permic,Udmurt,Central Udmurt,cent2320,
Permic,Udmurt,Northern Udmurt,nort2676,
Permic,Udmurt,Southern Udmurt,sout2681,
Saami,Aanaar Saami,,inar1241,
Saami,Akkala Saami,,akka1237,
Saami,Kemi Saami,,kemi1239,
Saami,Kildin Saami,,kild1236,
Saami,Kildin Saami,Kiillt,,kild1236
Saami,Kildin Saami,Arsjogg,,kild1236
Saami,Kildin Saami,Lujaa'vvr,,kild1236
Saami,Kildin Saami,Kårdegg,,kild1236
Saami,Lule Saami,,lule1254,
Saami,Lule Saami,Central Lule Saami,,lule1254
Saami,Lule Saami,Forest Lule Saami,,lule1254
Saami,Lule Saami,Mixed Lule Saami,,lule1254
Saami,Lule Saami,Northern Lule Saami,,lule1254
Saami,Lule Saami,Southern Lule Saami,,lule1254
Saami,North Saami,,nort2671,
Saami,North Saami,Eastern Inland dialect,east2866,
Saami,North Saami,Sea dialect,seal1238,
Saami,North Saami,Torne dialect,torn1243,
Saami,North Saami,Western Inland dialect,west2962,
Saami,Pite Saami,,pite1240,
Saami,Pite Saami,Arves dialect,,pite1240
Saami,Pite Saami,Central dialect,,pite1240
Saami,Pite Saami,Northern dialect,,pite1240
Saami,Pite Saami,Southern dialect,,pite1240
Saami,Skolt Saami,,skol1241,
Saami,Skolt Saami,Southern,,skol1241
Saami,Skolt Saami,Northern,,skol1241
Saami,South Saami,,sout2674,
Saami,South Saami,Central South Saami,,sout2674
Saami,South Saami,Northern South Saami,,sout2674
Saami,South Saami,Southern South Saami,,sout2674
Saami,Ter Saami,,ters1235,
Saami,Ume Saami,,umes1235,
Saami,Ume Saami,Central Ume Saami,,umes1235
Saami,Ume Saami,Northern Ume Saami,,umes1235
Saami,Ume Saami,Western Ume Saami,,umes1235
Samoyedic,Forest Enets,,fore1265,
Samoyedic,Forest Nenets,,fore1274,
Samoyedic,Kamas and Mator,,kama1351 / mato1250,
Samoyedic,Kamas,,kama1351,
Samoyedic,Kamas,Kamas Uralic,kama1378,
Samoyedic,Kamas,Koybal,samo1299,
Samoyedic,Mator,,mato1250,
Samoyedic,Mator,Nuclear Mator,nucl1288,
Samoyedic,Mator,Taigi,taig1245,
Samoyedic,Mator,Karagas,kara1461,
Samoyedic,Nganasan,,ngan1291,
Samoyedic,Northern Selkup,,tazz1244,
Samoyedic,Northern Selkup,Baikha dialect,,tazz1244
Samoyedic,Northern Selkup,Karasino dialect,,tazz1244
Samoyedic,Northern Selkup,Middle-Taz dialect,,tazz1244
Samoyedic,Northern Selkup,Upper-Taz dialect,,tazz1244
Samoyedic,Northern Selkup,Upper-Tolka dialect,,tazz1244
Samoyedic,Northern Selkup,Yelogui dialect,,tazz1244
Samoyedic,Tomsk region Selkup,,kety1234,
Samoyedic,Tomsk region Selkup,Central Selkup,cent2328,
Samoyedic,Tomsk region Selkup,Ket' Selkup,kety1235,
Samoyedic,Tomsk region Selkup,Southern Selkup,sout3262,
Samoyedic,Tundra Enets,,tund1254,
Samoyedic,Tundra Nenets,,nene1249,
