Point location for the Uralic languages and dialects;;;;;;;
;;;;;;;
Language variant/dialect;Language;Branch;Latitude;Longitude;Otherinfo;Glottocode;ISO_693_3
South-Eastern Moksha;Moksha;Mordvin;53.91;44.37;;;
Transitional Moksha;Moksha;Mordvin;53.75;43.48;;;
Hill Mari;Hill Mari;Mari;56.41;46.47;;kozy1238;
North-Western Mari;North-Western Mari;Mari;57.18;46.38;;yara1249;
Meadow Mari;Meadow Mari;Mari;56.72;48.49;;gras1239;
Eastern Mari;Eastern Mari;Mari;55.7;53.27;;east2328;mhr
Mari;Mari;Mari;56.51;47.67;;mari1278;chm
Komi-Zyrian;Komi-Zyrian;Permic;64.05;54.95;Same as Glottolog location;komi1268;kpv
Komi-Permyak;Komi-Permyak;Permic;59.96;54.51;;komi1269;koi
Komi-Yazva;Komi-Yazva;Permic;59.93;57.62;;komi1277;
Udmurt;Udmurt;Permic;57.11;52.89;;udmu1245;udm
Northern Udmurt;Udmurt;Permic;58.23;52.57;;north2676;
Central Udmurt;Udmurt;Permic;57.02;52.44;;cent2320;
Southern Udmurt;Udmurt;Permic;56.16;52.05;;sout2681;
Besserman Udmurt;Udmurt;Permic;57.96;52.15;;bese1243;
North Mansi;North Mansi;Mansi;63.64;61.75;;mans1258;mns
East Mansi ;East Mansi;Mansi;60.2;65.49;;;
West Mansi;West  Mansi;Mansi;61.5;60.83;;;
South Mansi;South Mansi;Mansi;60.16;62.45;;south3253;
Mansi;Mansi;Mansi;62.23;60.77;;mans1269;
North Khanty;North Khanty;Khanty;63.25;65.87;;north3264;
Obdorsk Khanty;North Khanty;Khanty;66.19;65.9;;obdo1234;
Ob Khanty;North Khanty;Khanty;62.23;66.46;;;
Kazym Khanty;North Khanty;Khanty;62.43;66.12;Same as Glottolog location;khan1273;kca
East Khanty;East Khanty;Khanty;60.67;75.58;;east2774;
Surgut Khanty;East Khanty;Khanty;61.25;73.35;Same as Glottolog location;surg1248;
Vakh-Vasjugan Khanty;East Khanty;Khanty;61.06;77.94;;fare1244;
South Khanty;South Khanty;Khanty;60.03;69.39;;sout3226;
Irtysh Khanty;South Khanty;Khanty;60.27;69.76;;sout2675;
Khanty;Khanty;Khanty;64.71;65.72;;khan1279;
Hungarian;Hungarian;Hungarian;46.91;19.66;Same as Glottolog location;hung1274;hun
Western Transdanubia;Hungarian;Hungarian;47.11;16.6;;;
Central Transdanubia;Hungarian;Hungarian;47.24;17.96;;;
Southern Transdanubia;Hungarian;Hungarian;46.1;18.02;;;
Southern plain;Hungarian;Hungarian;46.25;19.45;;;
Region of Palóc;Hungarian;Hungarian;47.92;19.81;;;
Region of Tisza-Körös;Hungarian;Hungarian;46.69;20.82;;;
Northeast Hungary;Hungarian;Hungarian;48.16;21.96;;north2669;
Transylvanian Plain;Hungarian;Hungarian;46.87;23.85;;;
Székely;Hungarian;Hungarian;46.29;25.49;;szek1241;
Csángó;Hungarian;Hungarian;46.58;26.67;;csan1238;
Forest Nenets;Forest Nenets;Samoyedic;63.72;71.97;Same as Glottolog location;fore1274;
Tundra Nenets;Tundra Nenets;Samoyedic;66.18;71.02;Same as Glottolog location;nene1249;yrk
Forest Enets;Forest Enets;Samoyedic;68.55;85.83;;fore1265;enf
Tundra Enets;Tundra Enets;Samoyedic;70.74;84.41;;tund1254;enh
Nganasan;Nganasan;Samoyedic;72.12;102.83;;ngan1291;nio
Northern Selkup;Northern Selkup;Samoyedic;66.05;84.02;;;
Middle-Taz;Northern Selkup;Samoyedic;65.98;81.64;;;
Karasino;Northern Selkup;Samoyedic;66.86;85.56;;;
Bajixa;Northern Selkup;Samoyedic;65.69;86.22;;;
Upper-Tol'ka;Northern Selkup;Samoyedic;63.66;80.28;;;
Upper-Taz;Northern Selkup;Samoyedic;63.84;84.38;;;
Eloguj;Northern Selkup;Samoyedic;62.42;86.16;;;
Tomsk region Selkup;Tomsk region Selkup;Samoyedic;58.18;81.11;;;
Central;Tomsk region Selkup;Samoyedic;59.87;81.29;;cent2328;
Southern (Middle Ob');Tomsk region Selkup;Samoyedic;57.62;82.18;;;
Southern (?aja);Tomsk region Selkup;Samoyedic;58.56;82.24;;;
Ket';Tomsk region Selkup;Samoyedic;58.9;85.98;;;
Southern Selkup;Southern Selkup;Samoyedic;58.4;82.52;;sout3262;
Selkup;Selkup;Samoyedic;65;83.11;;selk1253;sel
Kamas;Kamas;Samoyedic;55.07;94.83;Same as Glottolog location;kama1351;xas
Kamas;Kamas;Samoyedic;54.79;92.82;;kama1378;
Koybal;Kamas;Samoyedic;53.62;91.94;;samo1299;zkb
Mator;Mator;Samoyedic;54.27;97.34;;mato1250;mtm
Mator;Mator;Samoyedic;53.98;93.59;;nucl1288;
Taigi;Mator;Samoyedic;53.82;95.69;;taig1245;
Karagas;Mator;Samoyedic;54.49;99.11;;kara1461;
